No.,Lims No.,物质名称(英文),物质名称(中文),EC 号码,CAS 号码,可能用途
1,,"[4-[[4-anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene] dimethylammonium chloride (C.I. Basic Blue 26) [with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]",碱性蓝26,219-943-6,2580-56-5,用于油墨、清洁剂和涂料的配方; 用于染色纸、包装、纺织品、塑料制品和其他类型的物品; 它也可用于在诊断和分析应用
2,,"[4-[4,4'-bis(dimethylamino) benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride (C.I. Basic Violet 3) [with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]",结晶紫,208-953-6,548-62-9,主要用于打印机墨盒和圆珠笔的纸张着色和油墨; 也可用于脱水植物的染色、作为标识用于增加液体中的能见度和临床实验室使用
3,105,[Phthalato(2-)]dioxotrilead,二盐基邻苯二甲酸铅,273-688-5,69011-06-9,用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件)
4,,"1,2,3-trichloropropane","1,2,3-三氯丙烷",202-486-1,96-18-4,用作制造氯化溶剂和农业产品的中间体; 作为在聚合反应中的单体; 用于溶剂、油漆去除剂; 脱脂剂
5,,"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters; 1,2-benzenedicarboxylic acid, mixed decyl and hexyl and octyl diesters with ≥ 0.3% of dihexyl phthalate (EC No. 201-559-5)",鄰苯二甲酸二（C6-C6）烷基酯：(癸基，己基，辛基)酯與1，2-鄰苯二甲酸的複合物且鄰苯二甲酸二己酯含量≥ 0.3%,271-094-0; 272-013-1,68515-51-5; 68648-93-1 ,用于制造物质和PVC化合物。用于涂料，美术用品，建筑材料，润滑剂和粘合剂。用于胶粘剂的聚氨酯产品和挡风玻璃密封胶
6,,"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich (DIHP)", 邻苯二甲酸二（C6-8支链）烷基酯，富C7链,276-158-1,71888-89-6,用作PVC的增塑剂，用于密封剂、涂料和印刷油墨
7,,"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters (DHNUP)","1,2 - 苯二酸 - 二（C7-11支链与直链）烷基酯",271-084-6,68515-42-4,用作PVC的增塑剂、用于泡沫、粘合剂和涂料
8,,"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",邻苯二甲酸二己酯支链与直链,271-093-5,68515-50-4,用作聚合物的增塑剂，绝缘体，密封材料，机油稳定剂，机动车齿轮的润滑剂
9,,"1,2-Benzenedicarboxylic acid, dipentylester, branched and linear","支链和直链1,2-苯二羧二戊酯 /邻苯二甲酸戊基异戊酯",284-032-2,84777-06-0,增塑剂
10,,"1,2-bis(2-methoxyethoxy)ethane (TEGDME; triglyme)",三甘醇二甲醚,203-977-3,112-49-2,主要用作制造工业化学品的溶剂或加工助剂;  还可用于制动液和机动车辆的维修;用作锂电池中的电解液
11,,"1,2-Dichloroethane","1,2-二氯乙烷",203-458-1,107-06-2,主要用于制造其他物质; 次要使用为化工、制药行业和实验室的溶剂
12,,"1,2-Diethoxyethane",乙二醇二乙醚,211-076-1,629-14-1,用作油漆、油墨和清洁剂的溶剂; 非溶剂的使用包括液压和制动液、防冰剂和化学中间体
13,,"1,2-dimethoxyethane; ethylene glycol dimethyl ether (EGDME)",乙二醇二甲醚,203-794-9,110-71-4,主要用作制造工业化学品的溶剂或加工助剂，包括用作锂电池中的电解液; 用于锂原电池；水溶剂基油墨的成分
14,,"1,3,5-Tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione (TGIC)",异氰尿酸三缩水甘油酯,219-514-3,2451-62-9,主要用作树脂和涂料的硬化剂。; 还可用于印刷电路板工业的油墨、电绝缘材料、树脂成型系统、层压板、丝网印刷涂料、工具、粘合剂、衬里材料和塑料稳定剂
15,,"1,3,5-tris[(2S and 2R)-2,3-epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione (β-TGIC)",替罗昔隆,423-400-0,59653-74-6,在欧盟主要用作阻焊油墨; 也可用于电绝缘材料、树脂成型系统、层压板、丝网印刷涂料、工具、粘合剂、衬材料和塑料稳定剂.
16,,"1,3-propanesultone","1,3-丙烷磺内酯 ",214-317-9,1120-71-4,"用作生产精细和散装化学品的媒介;
用于混合物的配制（包括电解液）;
用于锂离子电池的电解液。"
17,,"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo [12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (“Dechlorane Plus”TM) [covering any of its individual anti- and syn-isomers or any combination thereof]",得克隆[包括所有反式和顺式异构体及其组合], -, -,"用作模制或挤压电子电气应用，电缆中的非塑化阻燃剂；
用于胶黏剂，密封剂，爆炸品和粘合剂；
用于金属表面处理产品;
用于聚合物的制备和化合物。
"
18,,"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one (3-benzylidene camphor)","1,7,7-三甲基-3-(苯基亚甲基)双环[2.2.1]庚烷-2-酮
(3-亚苄基樟脑)",239-139-9,15087-24-8,"用作防晒霜和其它化妆品的化学紫外线过滤剂;
用作皮肤和护发产品，家居用品和纺织品中的紫外线保护剂。"
19,,1-bromopropane (n-propyl bromide),溴代丙烷,203-445-0,106-94-5,用作工业清洗的溶剂（脱脂、金属加工、电子、航空航天）；用于气雾剂，粘合剂，油墨和涂料；用于合成香精香料
20,,1-methyl-2-pyrrolidone,N-甲基吡咯烷酮,212-828-1,872-50-4,"作为溶剂，用在涂料和清洁产品、制造电子和电气设备、半导体工业、石化加工、医药和农药, 用于锂原电池"
21,,2-(2H-benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol (UV-350),2-(2‘-羟基-3’-异丁基-5‘-叔丁基苯基)苯并三唑（紫外线吸收剂UV-350）,253-037-1,36437-37-3,"用作紫外线保护剂，特别是用于透明塑胶材料；
用作塑胶，橡胶和聚氨酯(PU)中的紫外线保护剂紫外线稳定剂；用作化妆品中的紫外线保护剂；用作表面涂层（特别是汽车和特殊工业木器涂料）的紫外线保护剂和配方中的成分."
22,,"2-(2H-benzotriazol-2-yl)-4,6-ditertpentylphenol (UV-328)",紫外吸收剂 UV-328,247-384-8,25973-55-1,于汽车和特殊工业木材中用作涂层的紫外线保护剂; 塑料、橡胶、聚氨酯、化妆品中的紫外线保护剂  用于塑料和树脂的光稳定剂，如丙烯，PVC，不饱和聚酯，聚丙烯酸酯，聚碳酸酯，ABS树脂，环氧树脂，纤维树脂等; 用于粘合剂
23,,"2,2-bis(4'-hydroxyphenyl)-4-methylpentane","2,2-双(4'-羟基苯基)-4-甲基戊烷",401-720-1,6807-17-6 ,用于生产热敏纸
24,,"2,2'-Dichloro-4,4'-methylenedianiline "," 3,3'-二氯-4,4'-二氨基二苯基甲烷",202-918-9,101-14-4,主要用作树脂和于生产聚合物制品的固化剂，并且还用于制造其他物质; 该物质也可能用于建筑和艺术中; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
25,,"2,4-Dinitrotoluene","2,4-二硝基甲苯",204-450-0,121-14-2,用作在生产柔性聚氨酯泡沫体过程中的中间体; 用于偶氮染料的合成; 用作炸药的凝胶塑化剂
26,,"2,4-di-tert-butyl-6-(5-chlorobenzotriazol-2-yl)phenol (UV-327)","2-(2‘-羟基-3’,5‘-二叔丁基苯基)-5-氯代苯并三唑 （紫外线吸收剂UV-327） ",223-383-8,3864-99-1,"用作紫外线保护剂，特别是用于透明塑胶材料；
用作塑胶，橡胶和聚氨酯(PU),以及化妆品中的紫外线保护剂；用作表面涂层（特别是汽车和特殊工业木器涂料）的紫外线保护剂和配方中的成分；
用作橡胶和广泛的塑胶材料及制品中的紫外线稳定剂"
27,,"2-benzotriazol-2-yl-4,6-di-tert-butylphenol (UV-320)",紫外吸收剂 UV-320,223-346-6,3846-71-7,于汽车和特殊工业木材中用作涂层的紫外线保护剂; 塑料、橡胶、聚氨酯、带涂层的纺织品和化妆品中的紫外线保护剂
28,,2-Ethoxyethanol,乙二醇单乙醚,203-804-1,110-80-5,作为溶剂、化学中间体或实验室化学制品
29,,2-ethoxyethyl acetate,乙二醇乙醚乙酸酯,203-839-2,111-15-9,作为溶剂用于涂料和化学工业; 作为制造氰基丙烯酸酯粘合剂的中间体
30,160,"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (DOTE)",二正辛基-双（巯乙酸2-乙基己酯）锡,239-622-4,15571-58-1,PVC稳定剂
31,,2-Methoxyaniline; o-Anisidine,邻甲氧基苯胺 ,201-963-1,90-04-0,主要用在制造纹身纸染料和纸张、聚合物和铝箔的着色; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
32,,2-Methoxyethanol,乙二醇单甲醚,203-713-7,109-86-4,作为溶剂、化学中间体或实验室化学制品
33,,"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine","3-乙基-2-甲基-2-(3-甲基丁基)-1,3-恶唑烷",421-150-7,143860-04-2,用作高固含量聚氨酯涂料的反应性稀释剂和水清除剂
34,,"4-(1,1,3,3-tetramethylbutyl)phenol",对特辛基苯酚 ,205-426-2,140-66-9,主要用在制造聚合物和乙氧基化表面活性剂。它也可用作粘合剂、涂层、油墨和橡胶制品的成分
35,,"4-(1,1,3,3-tetramethylbutyl)phenol, ethoxylated
[covering well-defined substances and UVCB substances, polymers and homologues]
",辛基酚聚醚-9，包括界定明确的物质以及UVCB物质、聚合物和同系物,-,-,它被用作乳化剂作乳化聚合。它被用作纺织和皮革助剂，农药制剂;兽医产品和水基油漆和建造行业例如用于发泡剂混凝土，金属加工液
36,,"4,4'-bis(dimethylamino)-4''-(methylamino)trityl alcohol [with ≥ 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)]","α,α -二[（二甲氨基）苯基]-4-甲氨基苯甲醇",209-218-2,561-41-1,用于书写油墨和其他油墨以及用于各种材料的染色
37,,"4,4'-bis(dimethylamino)benzophenone (Michler’s ketone)","4,4'-二（N,N-二甲氨基）二苯甲酮（米氏酮）",202-027-5,90-94-8         ,用作制造三苯基甲烷染料和其他物质的中间体; 其它用途包括作染料和颜料的添加剂（光敏剂）和用于干膜产品
38,,"4,4'-Diaminodiphenylmethane (MDA)","4,4'-二氨基二苯基甲烷",202-974-4,101-77-9,用作固化剂于环氧树脂和粘合剂; 用作制造高性能聚合物; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
39,,"4,4'-isopropylidenediphenol (Bisphenol A)","4,4'-对异丙基联苯酚
 (双酚A)",201-245-8,1980/5/7,"用于聚碳酸酯(PC)的生产;
用于其它聚合物的合成，如 聚酯碳酸酯， 聚丙烯酸酯， 聚砜，聚醚酰亚胺，多元醇， 聚酰胺 和苯并嗪树脂；
用于环氧树脂及其它树脂（如：乙烯基树脂，酚醛树脂和不饱和聚酯树脂）的生产；
作为添加剂用于应用在热敏纸的涂层中。"
40,,"4,4'-methylenedi-o-toluidine","4,4'-二氨基-3,3'-二甲基二苯甲烷",212-658-8,838-88-0,染料; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
41,,"4,4'-oxydianiline and its salts","4,4'-二氨基二苯醚",202-977-0,101-80-4,用作生产聚酰亚胺和聚酯酰亚胺树脂的染料中间体，用作着色剂; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
42,,4-Aminoazobenzene,4-氨基偶氮苯,200-453-6,1960/9/3,制造染料，包括碱性桔橙染料、对氮蒽蓝、纯黄色和酸黄色; 用作涂料、漆、蜡制品、油渍和苯乙烯树脂的染料; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
43,,"4-Heptylphenol,
branched and linear [substances with a linear and/or branched alkyl chain with a carbon number of 7 covalently bound predominantly in position 4 to phenol, covering also UVCB-and well-defined substances which include any of the individual isomers or a combination
thereof]","支链 和直链的4-庚基苯酚
 [含有线性或分支、碳原子数为7个、共价绑定在苯酚的4号位的烷基链的物质，包括UVCB物质以及任何含有独立或组合的界定明确的同分异构体的物质] ", - , - ,从庚基苯酚衍生物派生出来的聚合物通常用于润滑添加剂。
44,,"4-methyl-m-phenylenediamine (toluene-2,4-diamine)","2,4-二氨基甲苯",202-453-1,95-80-7,用作抗酸染料、偶氮颜料染料、三芳基甲烷染料、硫化染料、靛蓝化合物、织物印花染料; 作为合成橡胶和橡胶硫化化学物质、橡胶抗氧化剂的中间体; 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
45,,"4-Nonylphenol, branched and linear
[substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof]
", 分支或线性的壬基酚，含有线性或分支、共价绑定苯酚的9个碳烷基链的物质，包括UVCB物质以及任何含有独立或组合的界定明确的同分异构体的物质,-,-,涂料，油墨或工业应用;压加敏感粘合剂在轮胎和橡胶制品的生產;中间体在生产乙氧基化物和塑料的稳定剂;用作胶粘剂和涂料的材料; 壬基酚聚醚可降解为壬基酚
46,,"4-Nonylphenol, branched and linear, ethoxylated [substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, ethoxylated covering  UVCB- and well-defined substances, polymers and homologues, which include any of the individual isomers and/or combinations thereof]",分支或线性的壬基酚聚醚，含有线性或分支、共价绑定苯酚聚醚的9个碳烷基链的物质，包括界定明确的物质以及UVCB物质、聚合物和同系物,-,-,用在生产涂料、润滑剂、清漆、密封剂、清洗剂和粘合剂; 用于纸、纺织和皮革加工; ; 为助熔剂用于印刷电子电路板（PCB)。用作乳化剂于生产聚合物(用在涂料，油漆和粘合剂)。
47,,"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-
dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-
5-methyl-1,3-dioxane [2] [covering any of the individual
isomers of [1] and [2] or any combination thereof]","[1]為卡拉花醛，[2]為卡拉花醛的一種同分異構化合物, (卡拉花醛及其同分异构体，还包括卡拉花醛和其同分异构体的任意组合）",-,-,用作香氛
48,,"5-tert-butyl-2,4,6-trinitro-m-xylene (musk xylene)", 二甲苯麝香,201-329-4,81-15-2,香氛成分
49,,6-methoxy-m-toluidine (p-cresidine),2-甲氧基-5-甲基苯胺,204-419-1,120-71-8,制造染料(如FD＆C红色40和直接紫9); 被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
50,,"a,a-Bis[4-(dimethylamino)phenyl]-4 (phenylamino)naphthalene-1-methanol (C.I. Solvent Blue 4) [with = 0.1% of Michler's ketone (EC No. 202-027-5) or Michler's base (EC No. 202-959-2)] ",溶剂蓝4,229-851-8,6786-83-0,主要用于印刷和书写墨水，纸张的染色，及其它混合物（如风挡玻璃清洗剂）
51,102,"Acetic acid, lead salt, basic",碱式乙酸铅,257-175-3,51404-69-4,"用于制造电脑、电子及光学产品、电子设备; 
用于生产其他化学品; 用作实验室试剂和制剂配方;用于染料"
52,46,"Acids generated from chromium trioxide and their oligomers. Names of the acids and their oligomers: Chromic acid, Dichromic acid, Oligomers of chromic acid and dichromic acid.","铬酸,重铬酸,铬酸和重铬酸的低聚物.","231-801-5, 
236-881-5","7738-94-5, 
13530-68-2",三氧化铬溶解于水时，产生这些酸和它们的低聚物。因此，这些物质的用途与三氧化铬相同
53,,Acrylamide,丙烯酰胺,201-173-7,1979/6/1,主要用在制造聚丙烯酰胺; 用作特殊应用的灌浆剂; 其他可能的应用包括: 作为添加剂用在化妆品、用于土壤和沙子的稳定和纺织品的处理;粘合剂
54,,"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins, SCCPs)",短链氯化石蜡,287-476-5,85535-84-8,"作为阻燃剂用在软垫家具的布料,地毯用塑料衬底纺织品、橡胶、涂料、密封胶和粘合剂; 皮革加脂剂，PVC增塑剂"
55,29,"Aluminosilicate Refractory Ceramic Fibres
 
are fibres covered by index number 650-017-00-8 in Annex VI, part 3, table 3.1 of Regulation (EC) No 1272/2008 of the European Parliament and of the Council of 16 December 2008 on classification, labelling and packaging of substances and mixtures, and fulfill the three following conditions:
 
a) oxides of aluminium and silicon are the main components present (in the fibres) within variable concentration ranges
 
b) fibres have a length weighted geometric mean diameter less two standard geometric errors of 6 or less micrometres (µm)
 
c) alkaline oxide and alkali earth oxide (Na2O+K2O+CaO+MgO+BaO) content less or equal to 18%  by weight", 硅酸铝耐火陶瓷纤维,-,-,用于高温绝缘的耐火材料，大部分用于工业应用（如工业炉和设备，汽车制造，航天航空设备的绝缘），用于建筑和工业设备的防火
56,37,Ammonium dichromate,重铬酸铵,232-143-1,7789/9/5,氧化剂、实验室（分析剂）、纺织媒染剂，用于制造光敏屏幕
57,,Ammonium pentadecafluorooctanoate (APFO),全氟辛酸铵,223-320-4,3825-26-1,它主要用作含氟聚合物和氟橡胶的加工助剂（如聚四氟乙烯）; 用作地毯、家具和衣物的防水防油剂; 用于灭火的泡沫、食品包装、摄影行业和半导体行业; 用于造纸和纸包装。用于油漆
58,,Anthracene,蒽,204-371-1,120-12-7,用于制造烟火产品、木浆生产的催化剂、蒽醌染料的基材
59,,Anthracene oil,蒽油,292-602-7,90640-80-5,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、工业粘度调节剂; 用于木材防腐
60,,"Anthracene oil, anthracene paste",蒽油，蒽糊,292-603-2,90640-81-6,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、其他密封应用、工业粘度调节剂; 用于木材防腐
61,,"Anthracene oil, anthracene paste, anthracene fraction",蒽油，蒽糊，蒽馏分,295-275-9,91995-15-2,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、工业粘度调节剂;用于木材防腐
62,,"Anthracene oil, anthracene paste,distn. Lights",蒽油，蒽糊，轻油,295-278-5,91995-17-4,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、工业粘度调节剂;用于木材防腐
63,,"Anthracene oil, anthracene-low",蒽油，含蒽量低,292-604-8,90640-82-7,主要用作生产蒽(用作人造染料)的中间体; 其他应用包括: 技术焦油油和涂料、医药产品、浸渍剂、屋顶防水膜、工业粘度调节剂;用于木材防腐
64,58,Arsenic acid,砷酸,231-901-9,7778-39-4,主要用于去除陶瓷玻璃熔体的气泡（澄清剂），用于生产层压印刷电路板。次要使用为用于制造半导体和作为实验室试剂
65,,Benz[a]anthracene,苯并[a]蒽,200-286-6,"56-55-3
1718-53-2","此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
多环芳烃可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。
"
66,,"Benzene-1,2,4-tricarboxylic acid 1,2-anhydride (trimellitic anhydride) (TMA)","1,2,4-苯三酸酐 (偏苯三甲酸酐) (TMA)",209-008-0,552-30-7,"用于聚合物和酯类的生产；
用作实验室化学品。"
67,,Benzo[def]chrysene (Benzo[a]pyrene),苯并[a]芘,200-028-5,50-32-8,"通常不是有意添加和使用，但可能是其他物质的成分或为杂质。

多环芳香烃是可以在塑料，颜料，涂料和粘合剂找到, 是为杂质的。"
68,,Benzo[ghi]perylene,"苯并(g,h,i)芘",205-883-8,191-24-2 ,"此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
它是一种多环芳烃，可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。"
69,,Benzo[k]fluoranthene,苯并[k]荧蒽,205-916-6,207-08-9,此物质通常不是有意生产，可作为杂质存在于塑胶，橡胶和涂层中
70,,Benzyl butyl phthalate (BBP),邻苯二甲酸丁苄酯,201-622-7,85-68-7,PVC 和合成皮革的增塑剂; 胶浆印花和植绒印花
71,,Biphenyl-4-ylamine,4-氨基联苯,202-177-1,92-67-1,用于硫酸盐的检测; 以前还用作染料中间体;被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
72,,Bis (2-ethyl(hexyl)phthalate) (DEHP),邻苯二甲酸二(2-乙基己基)酯,204-211-0,117-81-7,PVC 和合成皮革的增塑剂; 胶浆印花和植绒印花
73,,Bis(2-methoxyethyl) ether,二乙二醇二甲醚,203-924-4,111-96-6,主要用作各种各样的应用中的反应溶剂或过程化学品; 它也可以用来作为电池的电解质的溶剂，也可能用于其它产品如密封剂、粘合剂、燃料、汽车护理产品 ；用于锂原电池。
74,,Bis(2-methoxyethyl) phthalate,邻苯二甲酸二甲氧乙酯,204-212-6,117-82-8,没有邻苯二甲酸二甲氧乙酯的注册信息提交至ECHA。因此，该物质似乎不可能被制造或进口到欧盟超过1吨/年。在过去的主要用途是作为增塑剂用在聚合物料、涂料、油漆、清漆和印刷油墨
75,,Bis(pentabromophenyl) ether (decabromodiphenyl ether; DecaBDE),十溴二苯醚,214-604-9,1163-19-5,用作塑料和纺织品的阻燃剂
76,2,Bis(tributyltin)oxide (TBTO), 三丁基氧化锡,200-268-0,56-35-9,抗菌剂、用于聚合物制品如地板、瓷砖、地毯、纺织品、羽毛和绒毛的处理
77,32,Boric acid,硼酸,"233-139-2, 234-343-4","10043-35-3, 11113-50-1",包括多种应用: 例如杀生剂、防腐剂、食品添加剂、陶瓷、粘合剂、化肥、阻燃剂、颜料、工业流体、制动液、焊接制品，影片显影剂 用作生产玻璃的中间体
78,139,Cadmium,镉,231-152-8,7440-43-9,它主要用作镍镉电池的电极; 用于金属涂层和合金; 其化合物在制造塑料制品或聚合物例如用于PVC
79,181,Cadmium carbonate,碳酸镉,208-168-9,513-78-0,"用于化妆品和个人护理产品；
用于塑胶，陶瓷，玻璃和涂料的颜料；
用于电子，电气的电池，半导体；
用于pH调节剂和水处理产品；
用作中间体和实验室试剂。
"
80,153,Cadmium chloride,氯化镉,233-296-7,10108-64-2,用作合成其它镉化合物的原材料; 作为中间体用于生产无机颜料和稳定剂; 用于金属涂层的电镀和电镀锌浴; 
81,156,Cadmium fluoride,氟化镉,232-222-0,7790-79-6,用于研究的化学品; 用于发光屏幕; 用于制造玻璃; 电动刷;控制核反应堆; 用作高温干膜的润滑剂; 光学应用;用作激光晶体的原材料; 以前用作铝及其合金焊接助熔剂。
82,182,Cadmium hydroxide,氢氧化镉,244-168-5,21041-95-2,"用于实验室化学试剂；
用于生产化学品和电子电气和光学设备。
用于电池电极；
用于耐腐蚀和耐摩擦的金属涂层。
"
83,180,Cadmium nitrate,硝酸镉,233-710-6,"10022-68-1
10325-94-7","用于实验室化学试剂和含镉混合物的配制；
用于玻璃，釉和陶瓷产品的生产；
用于塑胶，陶瓷，玻璃，橡胶，纸和油墨的颜料；
用作 PVC 稳定剂。"
84,140,Cadmium oxide,氧化镉,215-146-2,1306-19-0,作为镍镉电池的电极; 用于金属涂层、合金、玻璃、陶瓷玻璃、耐热瓷漆、耐热性聚合物(如聚四氟乙烯)、生产聚合物、塑料制品、催化剂、实验室试剂
85,157,Cadmium sulphate,硫酸镉,233-331-6,"10124-36-4, 31119-53-6",作为中间体用于生产无机镉化合物和用作实验室试剂; 用作金属表面涂层的原料和用于恢复铅酸电池; 其他用途包括用作电镀的电解质，荧光粉，杀线虫剂，航空应用中的干膜润滑剂; 皮革染色剂
86,145,Cadmium sulphide,硫化镉,215-147-8,1306-23-6,"用作塑料,玻璃和陶瓷中作為的颜料、也可用于着色合成纺织品玻璃添加剂和光电子应用材料（例如，太阳能电池)"
87,61,Calcium arsenate,砷酸钙,231-904-5,7778-44-1,存在于复杂的原料当中（其本身是冶金工艺的副产品）; 它们主要用于铜和铅的精炼; 该物质被用于从熔融金属中沉淀镍和提取三氧化二砷。然而，大部分的物质似乎是作为废弃物被处理
88,45,Chromium trioxide,三氧化铬,215-607-8,1333-82-0,主要用于金属表面处理，如电镀（如硬铬和装饰性电镀），转化膜和增亮; 它也可以用作水性木材防腐剂的固定剂; 次要用途是制造颜料、涂料、催化剂、洗涤剂，也可用作氧化剂
89,,Chrysene,䓛,205-923-4,"218-01-9
1719-03-5","此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
多环芳烃可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。
"
