No.,Lims No.,物质名称(英文),物质名称(中文),列入日期,EC 号码,CAS 号码,可能用途,Possible Applications,Natural textiles,Synthetic textiles,Leather,Metal,Plastic|polymers|foam,Wood,Paper,Ceramic,Glass,Dye|Pigment|Ink|Paint,Adhesives|Sealants,Battery,Electronic components,*Remarks,Organic|Inorganic,Chemical Classification
168,168,"Perfluorononan-1-oic acid (2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoic acid and its sodium and ammonium salts",全氟壬酸及其钠盐和铵盐 ,12/17/2015,206-801-3,"375-95-1;
21049-39-8;
4149-60-4","用作纺织品的防污处理剂；
存在于户外纺织品，地毯，手套，皮革，蓬布，耐污纺织品（如儿童防风衣，运动服及桌布）；
存在于纸质食品接触材料；
用于液晶显示屏；
用作生产含氟聚合物（尤其是聚偏二氯乙烯）的加工助剂；
用作润滑油的添加剂和灭火设备的表面活性剂，清洁剂，抛光的表面活性剂，防水试剂；
存在于纳米喷雾，浸渍喷雾及滑雪蜡。","Used as textile antifouling finishing agent; 
Present in outdoor textiles, carpet, gloves, leather, awning cloth, stain resistant textiles (such as child storm suits, sport clothes and tablecloth);
Present in paper-based food contact materials;
Used in liquid crystal display panels;
Used as a processing aid for the fluoropolymer manufacture, most notably for polyvinylidene fluoride;
Used as lubricating oil additive, surfactant for fire extinguishers, cleaning agent, polishing surfactant, waterproofing agents;
Present in nanosprays and impregnation sprays and ski waxes.
",Y*,Y*,Y*,N,Y,N,Y,N,N,N,N,N,Y,Textiles and leather: only applicable to those with water/oil/stain repellent finishing,Organic,Perfluorinated compounds
169,170,Benzo[def]chrysene (Benzo[a]pyrene),苯并[a]芘,6/20/2016,200-028-5,50-32-8,"通常不是有意添加和使用，但可能是其他物质的成分或为杂质。

多环芳香烃是可以在塑料，颜料，涂料和粘合剂找到, 是为杂质的。","Normally not manufactured intentionally but may occur as a constituent or impurity in other substances.

PAH can be found as impurity in plastic, pigment, paint and adhesive",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polycyclic Aromatic Hydrocarbons (PAHs) 
170,172,"4,4'-isopropylidenediphenol (Bisphenol A)","4,4'-对异丙基联苯酚
 (双酚A)",1/12/2017,201-245-8,80-05-7 ,"用于聚碳酸酯(PC)的生产;
用于其它聚合物的合成，如 聚酯碳酸酯， 聚丙烯酸酯， 聚砜，聚醚酰亚胺，多元醇， 聚酰胺 和苯并嗪树脂；
用于环氧树脂及其它树脂（如：乙烯基树脂，酚醛树脂和不饱和聚酯树脂）的生产；
作为添加剂用于应用在热敏纸的涂层中。","Used in manufacture of polycarbonates;
Used for the synthesis of other polymers such as polyester carbonate, polyarylates, polysulfones, polyetherimides, polyols, polyamides and polybenzoxazines;
Used in manufacture of epoxy resins and other resins, such as vinyl ester resins, phenolic plastic resins and unsaturated polyester resins;
Used as an additive in the coating applied to thermal paper.",N,N,N,N,Y,N,*Y,N,N,N,N,N,N,Coating in thermal paper for receipt,Organic,Bisphenol compounds
171,172,"Dibutylbis(pentane-2,4-dionato-O,O')tin","二丁基双(2,4-戊二酸根合-O,O')-(OC-6-11)-锡;双(乙酰丙酮酸)二丁基锡",6/25/2020,245-152-0,22673-19-4,本品主要用作室温硅橡胶固化催化剂，尤其是适用于脱醋酸型有机硅制品。还可用作聚氨酯涂料催化剂。,As a catalyst and as an additive in the production of plastics,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Inorganic,Organotin compounds
172,173,Nonadecaflurodecanoic acid (PFDA) and its sodium and ammonium salts,全氟癸酸 (PFDA) 及其钠盐和铵盐,1/12/2017,"206-400-3,
-,
221-470-5","335-76-2,
3830-45-3,
3108-42-7","用作增塑剂，润滑剂，表面活性剂，润湿剂和阻蚀剂；
可存在于纳米喷雾和浸渍喷雾，户外纺织品，地毯，手套，纸质食品接触材料和雪蜡中。","Used as plasticiser, lubricant, surfactant, wetting agent and corrosion inhibitor;
Can be present in nanosprays and impregnation sprays, outdoor textiles, carpets, gloves, paper-based food contact materials and ski waxes.",Y*,Y*,Y*,N,Y,N,*Y,N,N,N,N,N,N,"Textiles and leather: only applicable to those with water/oil/stain repellent finishing.

Paper for FCM",Organic,Perfluorinated compounds
173,173,Dioctyltindilaurate (6CI);,二月桂酸二正辛基锡,1/20/2021,-,3648-18-8,本品主要用于食品、药品包装所用的PVC软薄膜、软管的加工。也作为硬质透明食品包装材料的润滑剂，用量在1.5质量份以下。还用作医用硅橡胶催化剂。,"This product is mainly used for processing PVC soft film and hose used for food and medicine packaging.It is also used as lubricant for hard and transparent food packaging materials, and the dosage is less than 1.5 quality parts.It is also used as a medical silicone rubber catalyst.",Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Inorganic,Sn
174,174,"4-Heptylphenol,
branched and linear [substances with a linear and/or branched alkyl chain with a carbon number of 7 covalently bound predominantly in position 4 to phenol, covering also UVCB-and well-defined substances which include any of the individual isomers or a combination
thereof]","支链 和直链的4-庚基苯酚
 [含有线性或分支、碳原子数为7个、共价绑定在苯酚的4号位的烷基链的物质，包括UVCB物质以及任何含有独立或组合的界定明确的同分异构体的物质] ",1/12/2017, - , - ,从庚基苯酚衍生物派生出来的聚合物通常用于润滑添加剂。,"Polymers derived from phenol, heptyl derives are usually used in lubricant additives and greases in vehicles or machinery",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Alkylphenol compounds
175,175,"p-(1,1-dimethylpropyl)phenol",对叔戊基苯酚,1/12/2017,201-280-9,80-46-6,"用于香料和香精的生产；
作为单体用于聚合物（酚醛树脂）的生产；
用于胶黏剂，涂层，印刷油墨和油漆的配方和最终使用中。
","Used in the production of perfumes and fragrances;
Used as a monomer in the production of polymers (phenolic resins);
Used in formulation / end use of adhesives, coatings, printing inks and paints.
",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Alkylphenol compounds
176,178,Perfluorohexane-1-sulphonic acid and its salts (PFHxS),全氟己基磺酸及其盐类 (PFHxS),7/7/2017, -, -,"可存在于地毯，皮革，服装，纺织品和家具装饰用品；
可存在于日常用品中（如，厨房用品，地板蜡，以及服装和鞋的防水喷雾）；
可存在于金属电镀，防火棉和电子设备中。

注释：PFHxS是全氟辛烷磺酸(PFOS)生产中的一种杂质。目前没有关于使用PFHxS的相关信息，但是它可存在于以上所提到的材料和产品中。","Can be presented in carpets, leather and apparel, textiles and upholstery;
Can be presented in household products (e.g. cookware, floor polish and water repellent sprays for apparel and footwear)
Can be presented in metal plating, paper, fire-fighting foam, and electronic equipment.

Remark: PFHxS is a known impurity in the production of PFOS. There is no available data on the use of PFHxS currently, and it can be presented in the materials and products above.",Y*,Y*,Y*,N,Y,N,Y,N,N,N,N,N,Y,Textiles and leather: only applicable to those with water/oil/stain repellent finishing,Organic,Perfluorinated compounds
177,179,"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo [12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (“Dechlorane Plus”TM) [covering any of its individual anti- and syn-isomers or any combination thereof]",得克隆[包括所有反式和顺式异构体及其组合],1/15/2018, -, -,"用作模制或挤压电子电气应用，电缆中的非塑化阻燃剂；
用于胶黏剂，密封剂，爆炸品和粘合剂；
用于金属表面处理产品;
用于聚合物的制备和化合物。
","Used as a non-plasticizing flame retardant in moulded or extruded electrical/electronic applications, wires and cables;
Used in adhesives and sealants; explosives and binding agents;
Used in metal surface treatment products;
Used in polymer preparations and compounds.",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,,Organic,Polyhalogenated alkanes
178,180,Cadmium nitrate,硝酸镉,1/15/2018,233-710-6,"10022-68-1
10325-94-7","用于实验室化学试剂和含镉混合物的配制；
用于玻璃，釉和陶瓷产品的生产；
用于塑胶，陶瓷，玻璃，橡胶，纸和油墨的颜料；
用作 PVC 稳定剂。","Used in laboratory chemicals and in formulations of cadmium containing mixtures;
Used in the manufacture of glass, porcelain and ceramic products;
Used in pigment for plastic, ceramic, glass, rubber, paper, ink;
Used as a PVC stabilizer.",N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,,Inorganic,Cd compounds
179,180,Benz[a]anthracene,苯并[a]蒽,1/15/2018,200-286-6,"56-55-3
1718-53-2","此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
多环芳烃可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。
","Normally not manufactured intentionally but may occur as a constituent or impurities in other substances.
This PAH can be found as impurities in plastic, pigment, paint and adhesive.",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polycyclic aromatic hydrocarbons (PAHs)
180,181,Cadmium carbonate,碳酸镉,1/15/2018,208-168-9,513-78-0,"用于化妆品和个人护理产品；
用于塑胶，陶瓷，玻璃和涂料的颜料；
用于电子，电气的电池，半导体；
用于pH调节剂和水处理产品；
用作中间体和实验室试剂。
","Used in cosmetics and personal care products;
Used in pigment for plastic, ceramic, glass, paint;
Used in electronics, electrical batteries, semi-conductors;
Used in pH regulators and water treatment products;
Used as an intermediate, laboratory agents;
Used as glass additives.",N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,,Inorganic,Cd compounds
181,181,Chrysene,䓛,1/15/2018,205-923-4,"218-01-9
1719-03-5","此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
多环芳烃可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。
","Normally not manufactured intentionally but may occur as a constituent or impurities in other substances.
This PAH can be found as impurities in plastic, pigment, paint and adhesive.",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polycyclic aromatic hydrocarbons (PAHs)
182,182,Cadmium hydroxide,氢氧化镉,1/15/2018,244-168-5,21041-95-2,"用于实验室化学试剂；
用于生产化学品和电子电气和光学设备。
用于电池电极；
用于耐腐蚀和耐摩擦的金属涂层。
","Used in laboratory chemicals;
Used in the manufacture of chemicals and electrical, electronic and optical equipment.
Used in batteries electrodes;
Used in metal coating with anti-corrosion, friction, reduction.",N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,,Inorganic,Cd compounds
183,183,Dicyclohexyl phthalate (DCHP) ,邻苯二甲酸二环己酯 (DCHP),6/27/2018,201-545-9,84-61-7,"用于生产塑料溶胶（密封剂和纺织品印刷）；
用于生产PVC,橡胶及塑料混合物（用作辅助增塑剂）；
作为阻遏剂和分散剂用于配制有机过氧化物。","Used in the manufacturing of plastisol (sealant compounds and textile printing);
Used in the manufacturing of compounds for PVC, rubber and plastic compounds (use as co-plasticizers); 
Used in the formulation of organic peroxide as phlegmatizer and dispersing agent.",Y*,Y*,N,N,Y ,N,N,N,N,Y ,Y ,N,N,Textiles with plastisol print,Organic,Phthalates
184,184,"Benzene-1,2,4-tricarboxylic acid 1,2-anhydride (trimellitic anhydride) (TMA)","1,2,4-苯三酸酐 (偏苯三甲酸酐) (TMA)",4/19/2018,209-008-0,552-30-7,"用于聚合物和酯类的生产；
用作实验室化学品。","Used in manufacture of polymers and esters;
Used as laboratory chemical.",N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Organic acid anhydride 
185,185,Benzo[ghi]perylene,"苯并(g,h,i)芘",6/27/2018,205-883-8,191-24-2 ,"此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
它是一种多环芳烃，可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。","Normally not manufactured intentionally but may occur as a constituent or impurities in other substances;
This is a PAH and it can be found as impurities in plastic, pigment, paint and adhesive.",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polycyclic aromatic hydrocarbons (PAHs)
186,186,Ethylenediamine (EDA),乙二胺,6/27/2018,203-468-6,107-15-3,作为单体用于环氧树脂，PU，胶黏剂和其它聚合物,"Used as monomer in epoxy, PU, adhesives, coatings and other polymers.",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Amine
187,187,Decamethylcyclopentasiloxane (D5),十甲基环五硅氧烷 (D5),6/27/2018,208-764-9,541-02-6,"用作生产硅酮聚合物的原料；
用于化妆品和个人护理产品，抛光剂和蜡，清洁洗涤产品，纺织品处理产品和染料中。","Used as a feedstock for the production of silicone polymers;
Used in cosmetics and personal care products, polishes and waxes, washing & cleaning products and textile treatment products and dyes.",Y,Y,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Cyclomethicone
188,188,Octamethylcyclotetrasiloxane (D4),八甲基环四硅氧烷 (D4),6/27/2018,209-136-7,556-67-2,"此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
它是一种多环芳烃，可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。","Used as a feedstock for the production of silicone polymers;
Used in washing and cleaning products, cosmetics, personal care products, polishes and waxes.",N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Cyclomethicone
189,189,Terphenyl hydrogenated,氢化三联苯,6/27/2018,262-967-7,61788-32-7 ,"用作塑胶应用中的添加剂
用于涂层/油墨，胶黏剂和密封剂的配制。","Used as additive in plastic applications;
Used in formulation of coatings/inks, adhesives and sealants.",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polyphenyls
190,190,Lead,铅,6/27/2018,231-100-4,7439-92-1,"用于铅酸电池和建筑行业的铅片中；
用作军火的子弹，用于合金钢；
用于钎焊合金和电缆护套；
用于氧化物，颜料，稳定剂和其它铅的化合物的生产。","Used in lead-acid batteries and in lead sheets used in the building sector;
Used as shots and bullets for ammunition and for alloying steel;
Used in soldering alloys, cable sheathing; 
Used for the production of oxides, pigments, stabilisers and other lead compounds.",N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,,Inorganic,Pb
191,190,Dodecamethylcyclohexasiloxane (D6),十二甲基环六硅氧烷 (D6),6/27/2018,208-762-8,540-97-6,"作为单体用于聚硅氧烷聚合物和树脂的生产中；
用于化妆品，家居产品：清洁洗涤产品，抛光剂和蜡。","Use as a monomer in the production of
polysiloxane polymers and resins;
Used in cosmetic products, household products: washing and cleaning, polishes and waxes.",N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Cyclomethicone
192,191,Disodium octaborate,氧化硼钠,6/27/2018,234-541-0,12008-41-2,"用于微量营养素化肥和建筑材料中；
用于熔块的生产；
用于涂料和涂层，纤维素绝缘材料和水泥的使用当中","Used in micronutrient fertilisers and construction materials;
Used in production of frits;
Used in use of paints and coatings, of cellulose insulation, and of cement. ",N,N,N,N,N,N,N,N,N,Y,N,N,N,,Inorganic,"Disodium salt, Boric acid"
193,192,"2,2-bis(4'-hydroxyphenyl)-4-methylpentane","2,2-双(4'-羟基苯基)-4-甲基戊烷",1/15/2019,401-720-1,6807-17-6 ,用于生产热敏纸,Used in the manufacture of thermal paper,N,N,N,N,N,N,Y,N,N,N,N,N,N,,Organic,Bisphenol compounds
194,193,Benzo[k]fluoranthene,苯并[k]荧蒽,1/15/2019,205-916-6,207-08-9,此物质通常不是有意生产，可作为杂质存在于塑胶，橡胶和涂层中,"Not intentionally used in articles but presence as contamination in plastic, rubber and coating",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polycyclic aromatic hydrocarbons (PAHs)
195,194,Fluoranthene,荧蒽,1/15/2019,205-912-4,206-44-0 ,此物质通常不是有意生产，可作为杂质存在于塑胶，橡胶和涂层中,"Not intentionally used in articles but presence as contamination in plastic, rubber and coating",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polycyclic aromatic hydrocarbons (PAHs)
196,195,Phenanthrene,菲,1/15/2019,201-581-5,85-01-8,此物质通常不是有意生产，可作为杂质存在于塑胶，橡胶和涂层中,"Not intentionally used in articles but presence as contamination in plastic, rubber and coating",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polycyclic aromatic hydrocarbons (PAHs)
197,196,Pyrene,芘,1/15/2019,204-927-3,129-00-0,此物质通常不是有意生产，可作为杂质存在于塑胶，橡胶和涂层中,"Not intentionally used in articles but presence as contamination in plastic, rubber and coating",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,Polycyclic aromatic hydrocarbons (PAHs)
198,197,"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one (3-benzylidene camphor)","1,7,7-三甲基-3-(苯基亚甲基)双环[2.2.1]庚烷-2-酮
(3-亚苄基樟脑)",1/15/2019,239-139-9,15087-24-8,"用作防晒霜和其它化妆品的化学紫外线过滤剂;
用作皮肤和护发产品，家居用品和纺织品中的紫外线保护剂。","Used in sunscreens and other cosmetics as a chemical UV filter
Used in skin and hair care products, household products and textiles for UV protection",Y,Y,N,N,N,N,N,N,N,N,N,N,N,,Organic,Camphor derivatives
199,199,4-tert-butylphenol (PTBP),4-叔丁基苯酚（PTBP）,7/16/2019,202-679-0,98-54-4,“用于生产聚碳酸酯和氢化;用于粘合剂、涂料、印刷油墨和油漆的配方/最终用途;用于聚合物热塑性塑料生产的单体。,"Used in the production of polycarbonate and hydrogenisation;
Used in the formulation / end use of adhesives, coatings, printing inks and paints;
Used as monomer in the production of polymer thermoplastics.",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,AP + APEO
200,200,"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides (covering any of their individual isomers and combinations thereof)",2，3，3，3-四氟-2-（六氟丙丙酸）丙酸，其盐和其卤化物（包括其任何单独的异构体及其组合）,7/16/2019, -, -,用于含氟聚合物树脂(聚四氟乙烯和氟化乙烯丙烯)的加工助剂,Used as a processing aid in fluoropolymer resins (PTFE (polytetrafluorethylene) and FEP (fluorinated ethylene propylene),N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Perfluorinated compounds
201,201,2-methoxyethyl acetate,2-乙酸乙酰甲氧乙酯,7/16/2019,203-772-9,110-49-6 ,用于含氟聚合物树脂(聚四氟乙烯和氟化乙烯丙烯)的加工助剂用作胶、树脂、蜡和油的溶剂;用于半导体、纺织印刷和摄影胶片的制造;用于油漆、漆、污渍、油墨、清漆、表面涂料、丝印;用于纺织品、皮革、纸张、醋酸酯胶粘剂”,"Used as a solvent for gums, resins, waxes, and oils;
Used in the manufacture of semiconductors, textile printing and photographic films;
Used in paints, lacquers, stains, inks, varnishes, surface coatings, silk-screen printing;
Used in textiles, leather, paper, acetate adhesives",Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,,Organic,Other Organics
202,202,"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP) with ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP)",三叶（4-非苯基，分枝和线性）磷化物（TNPP）与≥0.1%w/w的4非非苯酚，分枝和线性（4-NP）,7/16/2019, -, -,“用作稳定聚合物的抗氧化剂;用于食品接触聚合物制品;用于涂料和粘合剂。,"Used as an antioxidant to stabilise polymers;
Used in food contact polymer articles;
Used in coatings and adhesives",N,N,N,N,Y,N,N,N,N,Y,Y,N,N,,Organic,AP + APEO
203,203,2-benzyl-2-dimethylamino-4'-morpholinobutyrophenone,2 - 本齐 - 2 - 迪米拉米米诺 - 4'- 莫菲诺丁基罗芬酮,1/16/2020,404-360-3,119313-12-1 ,用作聚合物生产中的光引发剂;主要应用于高速油墨如柔印、胶印和UV喷墨。,"Used as photoinitiator in polymer production;
Main applications in high speed inks such as flexo, offset litho and UV ink jet.",N,N,N,N,Y,N,N,N,N,Y,N,N,N,,Organic,Other Organics
204,204,2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one,2-甲基-1-（4-甲基硫苯基）-2-吗啉丙烷-1-酮,1/16/2020,400-600-6,71868-10-5,用作聚合物生产中的光引发剂;主要应用于高胶印和柔印油墨、UV喷墨、耐蚀剂、印版和防焊罩。”,"Used as photoinitiator in polymer production;
Main applications in high offset and flexo inks, UV ink-jet, etch resists, printing plates and solder masks.",N,N,N,N,Y,N,N,N,N,Y,N,N,N,,Organic,Other Organics
205,205,Diisohexyl phthalate,二异乙基邻苯二甲酸酯,1/16/2020,276-090-2,71850-09-4,"该物质是1,2-苯二甲酸二己酯的组成部分(支化形式)，支化和线性(EC 271-093-5;CAS 68515-50-4)，与其他邻苯二甲酸盐具有相同的潜在用途(如作为密封剂，聚合物中的增塑剂等)。","This substance is a component (the branched form) of 1,2-benzenedicarboxylic acid, dihexyl ester, branched and linear (EC 271-093-5; CAS 68515-50-4), which has same potential uses as other phthalates (e.g. as sealant, plasticiser in polymers etc.).",N,N,N,N,Y,N,N,N,N,N,Y,N,N,,Organic,Phthalates
206,206,Perfluorobutane sulfonic acid (PFBS) and its salts,全氟丁烷硫酸（PFBS）及其盐,1/16/2020, -, -,“PFBS在聚合物制造和化学合成中用作催化剂;PFBS钾盐用于聚碳酸酯阻燃，主要用于电气电子设备;全氟丁烷磺酸四乙基铵用于金属(铬)电镀;全氟丁烷磺酸四丁基膦用作塑料的防静电添加剂;与全氟苯磺酸有关的物质在使用过程中可能会降解为全氟苯磺酸，被用作皮革、纺织品和地毯的防水和防污保护，在许多情况下，所使用的特定物质是侧链含氟聚合物。”,"PFBS is used as catalyst in polymer manufacture and chemical synthesis;
PFBS’ potassium salt is used as a flame retardant in polycarbonate, used mainly in electrical and electronic equipment;
Tetraethylammonium perfluorobutane sulfonate is used in metal (chromium) plating;
Tetrabutylphosphonium perfluorobutane sulfonate is used as an anti-static additive for plastics;
PFBS-related substances which may degrade to PFBS during use are used as water and stain repellent protection for leather, textiles and carpets, and in many cases the specific substances used are side-chain fluorinated polymers.",Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,,Organic,Perfluorinated compounds
207,209,1-vinylimidazole,1-乙烯基达佐尔,6/25/2020,214-012-0,1072-63-5 ,在配方和作为单体生产聚合物,In formulation and as a monomer in the production of polymers,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Organic,Other Organics
208,210,2-methylimidazole,2-甲基化,6/25/2020,211-765-7,693-98-1,作为涂料产品生产中的催化剂,As a catalyst in the production of coating products,N,N,N,N,N,N,N,N,N,Y,N,N,N,,Organic,Other Organics
209,211,Butyl 4-hydroxybenzoate (Butylparaben),丁基4-羟基苯甲酸酯（丁尔帕拉本）,6/25/2020,202-318-7,94-26-8,用作化妆品，个人护理产品和药品的防腐剂。,"Used as preservatives in cosmetics, personal care products and pharmaceuticals.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Other Organics
210,,"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP) [with ≥0.1% w/w 4-heptylphenol, branched and linear]","1,3,4-噻二唑烷-2,5-二硫酮，甲醛和4-庚基苯酚的支链和直链（RP-HP）的反应产物[4-庚基苯酚，支链和直链含量≥0.1％w / w]",1/15/2018, -, -,用于润滑添加剂，润滑油的配制。,"Used in the formulation of lubricant additives, lubricants and greases.",N,N,N,N,N,N,N,N,N,N,N,N,N,,Organic,Heterocyclic compounds
